rule,sourceType,sourceFile,sourceRow,partyName,currency,direction,rawBalance,ourRefNo,sourceInternalId
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,2,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1007.75,PEOI009458,17334
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,2,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1007.75,PEOI009458,17334
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,3,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009456,17333
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,3,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009456,17333
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,4,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1120,PEOI009392,17332
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,4,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1120,PEOI009392,17332
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,6,LEMOND FOOD CORP NEW ADDR,CAD,receivable,2305,PEOI009373,17330
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,8,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1245,PEOI009414,17327
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,9,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1045,PEOI009389,17325
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,10,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1285,PEOI009428,17324
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,11,LEMOND FOOD CORP NEW ADDR,CAD,receivable,2405,PEOI009400,17323
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,12,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1685,PEOI009405,17322
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,13,LEMOND FOOD CORP NEW ADDR,CAD,receivable,900,PEOI009413,17321
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,13,LEMOND FOOD CORP NEW ADDR,CAD,receivable,900,PEOI009413,17321
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,14,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1605,PEOI009394,17320
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,16,LEMOND FOOD CORP NEW ADDR,CAD,receivable,1525,PEOI009452,17318
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,18,EGONGEGONG CANADA,CAD,receivable,8797.66,PEAI008822,17329
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,19,LEMOND FOOD CORP NEW ADDR,CAD,receivable,870,PEOI009364,17317
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,20,LEMOND FOOD CORP NEW ADDR,CAD,receivable,867.5,PEOI009399,17307
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,21,LEMOND FOOD CORP NEW ADDR,CAD,receivable,2127.95,PEOI009406,17304
